
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.67
8                      42.30
16                     37.81
32                     36.39
64                     33.65
128                    34.11
256                    35.40
512                    35.83
1024                   37.26
2048                   46.26
4096                   68.09
8192                   96.43
16384                 114.11
32768                 154.51
65536                 251.41
131072                454.87
262144                253.88
524288                408.98
1048576               779.48
