
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      85.53
8                      87.17
16                     86.08
32                     92.82
64                     88.41
128                    87.51
256                    91.96
512                    90.80
1024                   93.74
2048                  102.95
4096                  107.10
8192                  142.71
16384                 158.29
32768                 236.96
65536                 266.14
131072                872.72
262144                311.00
524288                504.53
1048576               842.86
