
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      90.98
8                      94.42
16                     86.31
32                     96.62
64                     96.70
128                    92.38
256                    97.10
512                    94.64
1024                   98.93
2048                   97.23
4096                  110.94
8192                  136.04
16384                 157.79
32768                 220.24
65536                 264.08
131072                624.08
262144                318.78
524288                491.43
1048576               904.05
