# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.49
2                       7.49
4                       7.49
8                       7.80
16                      7.80
32                      7.79
64                      7.90
128                     7.91
256                     7.94
512                     7.97
1024                    8.07
2048                    8.32
4096                    8.77
8192                    9.55
16384                  10.20
32768                  11.43
65536                  13.96
131072                 33.92
262144                 44.01
524288                 80.73
1048576                77.78
2097152               156.48
4194304               238.88
