# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.61
4                       7.32
8                      14.78
16                     29.47
32                     59.14
64                    108.12
128                   215.64
256                   426.13
512                   831.17
1024                 1532.86
2048                 2592.65
4096                 4292.33
8192                 7145.65
16384                8406.01
32768               10060.24
65536               10763.90
131072              13625.15
262144              13799.11
524288              13972.48
1048576             23712.79
2097152             23977.10
4194304             24206.46
