# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.50
2                       7.49
4                       7.50
8                       7.80
16                      7.80
32                      7.81
64                      7.91
128                     7.93
256                     7.94
512                     7.98
1024                    8.07
2048                    8.34
4096                    8.75
8192                    9.60
16384                  10.14
32768                  11.41
65536                  13.92
131072                 34.01
262144                 44.04
524288                 80.91
1048576                77.88
2097152               156.48
4194304               240.96
