# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.45
1                       7.48
2                       7.48
4                       7.48
8                       7.78
16                      7.78
32                      7.78
64                      7.90
128                     7.90
256                     7.92
512                     7.96
1024                    8.07
2048                    8.34
4096                    8.76
8192                    9.58
16384                  10.20
32768                  11.42
65536                  13.99
131072                 34.03
262144                 44.26
524288                 80.79
1048576                77.73
2097152               156.22
4194304               239.75
