
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     120.54
8                      99.62
16                     99.61
32                     99.21
64                    104.45
128                   107.26
256                   103.33
512                    96.83
1024                  109.14
2048                  125.54
4096                  179.81
8192                  172.56
16384                 223.38
32768                 204.33
65536                 218.38
131072                286.21
262144                392.17
524288                686.99
1048576               945.07
