# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.50
2                       7.49
4                       7.49
8                       7.79
16                      7.80
32                      7.80
64                      7.91
128                     7.92
256                     7.93
512                     7.98
1024                    8.08
2048                    8.35
4096                    8.74
8192                    9.57
16384                  10.15
32768                  11.40
65536                  13.80
131072                 33.94
262144                 44.23
524288                 80.96
1048576                77.87
2097152               157.07
4194304               240.68
