# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.59
4                       7.24
8                      14.53
16                     29.14
32                     58.22
64                    108.30
128                   215.08
256                   427.32
512                   834.85
1024                 1547.18
2048                 2594.26
4096                 4358.33
8192                 7248.63
16384                8565.58
32768               10082.20
65536               10959.20
131072              13619.55
262144              13923.50
524288              13982.44
1048576             23703.19
2097152             23938.57
4194304             24208.84
