
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     147.61
8                     164.73
16                    133.04
32                    125.79
64                    139.23
128                   127.01
256                   152.54
512                   149.78
1024                  138.75
2048                  142.90
4096                  192.18
8192                  245.15
16384                 334.36
32768                 352.30
65536                 283.34
131072                313.66
262144                464.66
524288                799.09
1048576              1362.57
