# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.62
4                       7.31
8                      14.64
16                     29.27
32                     59.00
64                    108.16
128                   215.48
256                   424.74
512                   829.17
1024                 1541.33
2048                 2576.85
4096                 4364.64
8192                 7178.59
16384                8476.29
32768                9963.10
65536               11390.01
131072              13550.39
262144              13839.64
524288              13981.06
1048576             23699.63
2097152             23995.57
4194304             24218.12
