
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     121.78
8                     125.59
16                    123.12
32                    134.63
64                    148.01
128                   153.37
256                   141.49
512                   132.32
1024                  159.22
2048                  204.89
4096                  227.38
8192                  261.65
16384                 291.08
32768                 281.90
65536                 277.23
131072                339.93
262144                661.69
524288                717.82
1048576              1177.55
