# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.61
4                       7.29
8                      14.68
16                     29.18
32                     59.27
64                    107.98
128                   215.19
256                   425.88
512                   829.30
1024                 1521.71
2048                 2578.55
4096                 4321.06
8192                 7111.49
16384                8409.32
32768                9919.70
65536               11306.00
131072              13615.48
262144              13840.61
524288              13997.82
1048576             23739.49
2097152             23971.63
4194304             24195.45
