# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.62
4                       7.33
8                      14.71
16                     29.28
32                     58.92
64                    108.44
128                   214.52
256                   427.93
512                   834.71
1024                 1546.17
2048                 2599.85
4096                 4329.60
8192                 7258.92
16384                8521.14
32768               10041.91
65536               10688.35
131072              13672.46
262144              13861.13
524288              14033.34
1048576             23659.84
2097152             23982.88
4194304             24195.47
