
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     147.24
8                     158.14
16                    193.00
32                    126.93
64                    147.13
128                   162.45
256                   161.91
512                   150.09
1024                  130.89
2048                  130.71
4096                  177.53
8192                  257.07
16384                 225.90
32768                 330.00
65536                 259.44
131072                319.04
262144                437.57
524288                660.99
1048576              1068.13
