# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.72
2                       3.59
4                       7.33
8                      14.61
16                     29.47
32                     58.87
64                    108.50
128                   215.51
256                   429.02
512                   835.16
1024                 1548.77
2048                 2601.08
4096                 4343.96
8192                 7154.52
16384                8389.52
32768               10100.89
65536               11615.85
131072              13647.77
262144              13881.28
524288              14001.88
1048576             23582.35
2097152             23957.74
4194304             24198.54
