
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      86.88
8                      86.83
16                     85.29
32                     86.03
64                    103.03
128                    86.08
256                    88.98
512                    89.05
1024                   95.17
2048                  101.35
4096                  113.07
8192                  141.47
16384                 164.37
32768                 215.24
65536                 264.62
131072                632.47
262144                397.79
524288                569.40
1048576               900.94
