
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      99.90
8                     102.12
16                    108.91
32                     92.44
64                    112.88
128                   113.24
256                   110.39
512                   111.45
1024                  100.25
2048                  104.56
4096                  178.14
8192                  191.99
16384                 172.95
32768                 216.70
65536                 260.74
131072                261.31
262144                386.00
524288                574.64
1048576              1098.73
