# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      10.36
1                      10.40
2                      10.40
4                      10.39
8                      10.71
16                     10.72
32                     10.72
64                     10.85
128                    10.86
256                    10.88
512                    10.93
1024                   11.03
2048                   11.33
4096                   11.92
8192                   13.10
16384                  13.70
32768                  14.91
65536                  17.63
131072                 44.16
262144                 54.32
524288                 97.45
1048576                87.13
2097152               165.43
4194304               253.39
