
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     135.08
8                     148.76
16                    149.29
32                    158.72
64                    135.64
128                   153.51
256                   133.49
512                   157.51
1024                  152.89
2048                  116.20
4096                  221.19
8192                  249.10
16384                 313.55
32768                 313.68
65536                 266.64
131072                481.99
262144                485.06
524288                720.89
1048576              1060.68
