# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.60
4                       7.36
8                      14.73
16                     29.61
32                     59.17
64                    108.12
128                   216.42
256                   427.14
512                   837.82
1024                 1539.63
2048                 2583.12
4096                 4439.57
8192                 7202.56
16384                8545.14
32768               10176.66
65536               11827.56
131072              13599.79
262144              13855.90
524288              13955.68
1048576             23736.79
2097152             23992.92
4194304             24191.55
