# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.58
4                       7.26
8                      14.68
16                     29.32
32                     58.81
64                    107.19
128                   215.01
256                   424.46
512                   828.40
1024                 1519.41
2048                 2588.58
4096                 4370.30
8192                 7112.60
16384                8475.14
32768               10070.74
65536               10855.25
131072              13610.81
262144              13839.88
524288              13946.12
1048576             23660.78
2097152             23976.11
4194304             24190.33
