# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.49
2                       7.49
4                       7.49
8                       7.80
16                      7.79
32                      7.79
64                      7.90
128                     7.92
256                     7.94
512                     7.97
1024                    8.08
2048                    8.34
4096                    8.75
8192                    9.60
16384                  10.21
32768                  11.45
65536                  14.03
131072                 34.01
262144                 44.18
524288                 80.79
1048576                77.77
2097152               156.28
4194304               241.05
