
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     128.32
8                     108.09
16                    101.80
32                    100.43
64                    101.01
128                    95.53
256                   115.62
512                   110.02
1024                  104.38
2048                  120.30
4096                  191.58
8192                  182.76
16384                 206.88
32768                 186.86
65536                 224.86
131072                288.83
262144                431.71
524288                638.34
1048576              1056.20
