
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      86.57
8                      91.75
16                     96.20
32                     89.58
64                     92.41
128                    91.65
256                   111.24
512                    89.40
1024                   92.00
2048                   98.28
4096                  106.64
8192                  134.04
16384                 164.58
32768                 237.21
65536                 258.34
131072                617.41
262144                320.47
524288                522.50
1048576               845.74
