
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     111.18
8                     113.48
16                    108.32
32                     96.69
64                    107.12
128                   109.05
256                   107.73
512                   121.04
1024                  117.46
2048                  114.25
4096                  210.33
8192                  170.09
16384                 179.07
32768                 169.64
65536                 188.43
131072                243.46
262144                342.97
524288                751.66
1048576               935.85
