
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     181.48
8                     167.77
16                    148.26
32                    144.87
64                    159.84
128                   157.40
256                   140.60
512                   155.28
1024                  174.65
2048                  162.16
4096                  184.89
8192                  252.74
16384                 232.45
32768                 280.22
65536                 255.96
131072                368.35
262144                424.65
524288                784.63
1048576              1213.92
