
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.68
8                      33.53
16                     34.70
32                     33.46
64                     33.44
128                    34.26
256                    34.76
512                    35.92
1024                   40.76
2048                   38.94
4096                   64.00
8192                   88.56
16384                 110.52
32768                 152.70
65536                 256.47
131072                454.62
262144                263.91
524288                415.93
1048576               733.70
