
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     135.01
8                     121.85
16                    128.96
32                    147.25
64                    132.03
128                   121.89
256                   131.03
512                   134.58
1024                  132.79
2048                  120.92
4096                  197.18
8192                  240.06
16384                 270.46
32768                 235.70
65536                 274.12
131072                371.50
262144                504.61
524288                841.47
1048576              1215.76
