# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.59
4                       7.39
8                      14.68
16                     29.44
32                     58.83
64                    108.85
128                   215.70
256                   427.24
512                   836.24
1024                 1544.16
2048                 2608.42
4096                 4313.90
8192                 7194.14
16384                8462.75
32768               10356.67
65536               11612.30
131072              13688.90
262144              13896.67
524288              14029.46
1048576             23654.28
2097152             23958.63
4194304             24196.80
