# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.61
4                       7.32
8                      14.67
16                     29.71
32                     58.78
64                    108.64
128                   215.96
256                   427.78
512                   838.05
1024                 1541.80
2048                 2597.38
4096                 4348.05
8192                 7187.25
16384                8605.01
32768               10263.34
65536               11443.44
131072              13690.90
262144              13859.36
524288              14018.65
1048576             23637.26
2097152             23986.54
4194304             24197.36
