
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     104.77
8                      99.04
16                     94.31
32                    104.03
64                    113.94
128                   100.79
256                   115.61
512                    99.95
1024                  118.52
2048                  107.56
4096                  152.74
8192                  162.57
16384                 202.99
32768                 207.78
65536                 213.79
131072                243.69
262144                381.50
524288                642.26
1048576              1022.19
