
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      35.75
8                      34.88
16                     33.35
32                     33.73
64                     34.90
128                    34.33
256                    35.18
512                    36.38
1024                   47.70
2048                   39.67
4096                   63.41
8192                   89.69
16384                 112.95
32768                 153.46
65536                 237.12
131072                459.47
262144                261.40
524288                419.91
1048576               795.08
