# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.45
1                       7.50
2                       7.47
4                       7.48
8                       7.78
16                      7.78
32                      7.77
64                      7.90
128                     7.92
256                     7.92
512                     7.98
1024                    8.07
2048                    8.35
4096                    8.78
8192                    9.62
16384                  10.20
32768                  11.40
65536                  14.06
131072                 34.17
262144                 44.65
524288                 81.86
1048576                77.91
2097152               156.47
4194304               240.13
