# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.48
1                       7.50
2                       7.48
4                       7.48
8                       7.80
16                      7.79
32                      7.80
64                      7.90
128                     7.93
256                     7.93
512                     7.99
1024                    8.07
2048                    8.34
4096                    8.75
8192                    9.58
16384                  10.14
32768                  11.36
65536                  13.95
131072                 34.02
262144                 44.24
524288                 80.81
1048576                77.81
2097152               155.80
4194304               240.10
