
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.51
8                      33.23
16                     33.31
32                     33.70
64                     38.45
128                    34.58
256                    35.90
512                    35.24
1024                   37.28
2048                   38.73
4096                   63.99
8192                   88.91
16384                 111.90
32768                 159.22
65536                 235.72
131072                457.63
262144                268.56
524288                426.60
1048576               773.75
