# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.73
2                       3.60
4                       7.32
8                      14.71
16                     29.37
32                     58.92
64                    107.66
128                   215.43
256                   424.80
512                   831.17
1024                 1530.63
2048                 2585.45
4096                 4395.03
8192                 7147.10
16384                8397.28
32768               10056.62
65536               11417.71
131072              13595.23
262144              13782.73
524288              13943.68
1048576             23664.21
2097152             23978.45
4194304             24194.18
