
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      38.62
8                      44.57
16                     42.38
32                     42.72
64                     38.63
128                    39.75
256                    42.52
512                    45.97
1024                   48.72
2048                   43.50
4096                   70.88
8192                  108.71
16384                 120.44
32768                 161.07
65536                 248.63
131072                478.15
262144                288.81
524288                437.11
1048576               772.63
