# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.47
1                       7.51
2                       7.49
4                       7.49
8                       7.80
16                      7.79
32                      7.80
64                      7.91
128                     7.92
256                     7.94
512                     7.97
1024                    8.06
2048                    8.35
4096                    8.78
8192                    9.57
16384                  10.17
32768                  11.40
65536                  13.92
131072                 33.86
262144                 44.07
524288                 80.85
1048576                77.77
2097152               156.17
4194304               239.50
