
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     149.35
8                     116.91
16                    152.08
32                    126.23
64                    127.48
128                   148.38
256                   156.59
512                   133.25
1024                  123.38
2048                  155.64
4096                  188.12
8192                  269.80
16384                 286.06
32768                 337.01
65536                 301.00
131072                570.85
262144                545.26
524288                835.45
1048576              1089.21
