# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.48
1                       7.50
2                       7.49
4                       7.50
8                       7.80
16                      7.81
32                      7.81
64                      7.91
128                     7.92
256                     7.94
512                     7.99
1024                    8.09
2048                    8.35
4096                    8.76
8192                    9.60
16384                  10.23
32768                  11.47
65536                  13.96
131072                 34.19
262144                 44.25
524288                 80.79
1048576                77.99
2097152               156.52
4194304               238.03
