
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     140.23
8                     141.31
16                    157.64
32                    146.29
64                    149.97
128                   128.56
256                   153.43
512                   161.68
1024                  143.31
2048                  170.70
4096                  192.05
8192                  238.15
16384                 272.88
32768                 324.90
65536                 290.36
131072                364.90
262144                446.20
524288                678.24
1048576              1157.26
