
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     119.22
8                     124.72
16                    108.00
32                    110.40
64                    128.44
128                   119.03
256                   121.18
512                   129.55
1024                  138.18
2048                  130.39
4096                  178.26
8192                  174.20
16384                 169.66
32768                 209.28
65536                 191.73
131072                366.24
262144                430.98
524288                587.29
1048576               975.31
