
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     106.84
8                     102.70
16                     92.06
32                     92.58
64                    102.59
128                   115.90
256                   105.98
512                   106.47
1024                  133.51
2048                  107.24
4096                  182.85
8192                  171.75
16384                 189.71
32768                 204.66
65536                 197.63
131072                347.26
262144                565.93
524288                636.42
1048576               978.24
