
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      93.17
8                     109.03
16                     93.75
32                     98.14
64                     99.38
128                   108.26
256                   107.54
512                    94.93
1024                  129.89
2048                  128.89
4096                  210.25
8192                  208.95
16384                 200.72
32768                 182.93
65536                 212.25
131072                280.38
262144                366.11
524288                549.72
1048576              1012.50
