
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      94.55
8                      91.98
16                     93.10
32                     91.89
64                     86.55
128                    91.34
256                    93.81
512                    92.50
1024                  100.27
2048                  113.60
4096                  117.14
8192                  136.70
16384                 161.97
32768                 216.32
65536                 254.91
131072                620.08
262144                308.30
524288                499.04
1048576               862.22
