
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     187.66
8                     126.73
16                    138.38
32                    154.95
64                    148.66
128                   135.18
256                   159.71
512                   138.25
1024                  142.88
2048                  181.98
4096                  199.58
8192                  236.66
16384                 303.21
32768                 279.46
65536                 436.08
131072                326.92
262144                623.96
524288                694.75
1048576              1025.40
