
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      33.39
8                      33.51
16                     33.73
32                     32.89
64                     35.95
128                    34.03
256                    34.35
512                    36.02
1024                   36.17
2048                   39.32
4096                   67.64
8192                   91.02
16384                 111.80
32768                 151.80
65536                 235.27
131072                455.00
262144                256.88
524288                417.74
1048576               748.26
