# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.60
4                       7.29
8                      14.64
16                     29.47
32                     58.94
64                    107.97
128                   213.87
256                   424.56
512                   834.74
1024                 1533.12
2048                 2596.76
4096                 4322.01
8192                 7161.37
16384                8499.27
32768               10138.57
65536               11574.79
131072              13598.03
262144              13831.86
524288              13964.28
1048576             23715.82
2097152             23960.79
4194304             24193.21
