# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.71
2                       3.59
4                       7.30
8                      14.66
16                     29.39
32                     58.64
64                    107.78
128                   214.61
256                   426.25
512                   833.40
1024                 1540.01
2048                 2595.28
4096                 4353.63
8192                 7170.63
16384                8653.73
32768               10346.86
65536               11676.60
131072              13628.35
262144              13813.53
524288              13904.71
1048576             23709.79
2097152             23978.05
4194304             24201.37
