# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       7.46
1                       7.49
2                       7.47
4                       7.48
8                       7.79
16                      7.79
32                      7.78
64                      7.89
128                     7.90
256                     7.92
512                     7.97
1024                    8.06
2048                    8.33
4096                    8.76
8192                    9.56
16384                  10.20
32768                  11.47
65536                  14.05
131072                 33.92
262144                 44.03
524288                 80.67
1048576                77.80
2097152               156.71
4194304               235.72
