# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.70
2                       3.60
4                       7.28
8                      14.65
16                     29.29
32                     58.97
64                    108.32
128                   216.02
256                   426.62
512                   832.99
1024                 1526.45
2048                 2594.85
4096                 4316.26
8192                 7287.70
16384                8569.94
32768               10304.86
65536               11387.32
131072              13566.23
262144              13847.48
524288              13970.07
1048576             23672.02
2097152             23988.22
4194304             24215.39
