# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.68
2                       3.51
4                       7.30
8                      14.62
16                     29.29
32                     58.79
64                    108.86
128                   215.58
256                   426.79
512                   836.39
1024                 1526.28
2048                 2596.78
4096                 4425.07
8192                 7153.93
16384                8524.69
32768               10270.59
65536               11496.76
131072              13685.44
262144              13875.88
524288              14009.85
1048576             23695.39
2097152             23972.76
4194304             24199.91
