# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       1.72
2                       3.57
4                       7.30
8                      14.73
16                     29.30
32                     58.80
64                    107.67
128                   215.10
256                   425.14
512                   828.06
1024                 1536.22
2048                 2599.77
4096                 4329.83
8192                 7182.94
16384                8497.12
32768               10105.13
65536               11037.74
131072              13600.69
262144              13833.67
524288              13945.42
1048576             23644.66
2097152             23969.65
4194304             24207.14
