
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.76
8                      20.01
16                     20.13
32                     20.07
64                     20.25
128                    40.67
256                    41.53
512                    41.95
1024                   43.10
2048                   43.91
4096                   44.82
8192                   46.28
16384                  53.55
32768                  65.31
65536                  82.03
131072                133.77
262144                196.10
524288                347.21
1048576               652.85
