
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.27
8                      20.06
16                     19.97
32                     20.16
64                     20.16
128                    40.66
256                    41.48
512                    41.85
1024                   43.41
2048                   43.85
4096                   44.80
8192                   46.24
16384                  53.75
32768                  65.51
65536                  82.35
131072                132.31
262144                196.46
524288                344.40
1048576               648.21
