
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.37
8                      20.05
16                     20.02
32                     20.00
64                     20.18
128                    40.65
256                    41.20
512                    42.17
1024                   42.91
2048                   43.57
4096                   44.70
8192                   45.98
16384                  53.50
32768                  65.60
65536                  82.05
131072                134.17
262144                197.65
524288                347.13
1048576               648.86
