
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.38
8                      20.12
16                     20.22
32                     20.10
64                     20.17
128                    40.59
256                    41.48
512                    41.90
1024                   43.02
2048                   43.73
4096                   44.79
8192                   46.14
16384                  53.53
32768                  64.88
65536                  82.09
131072                133.68
262144                195.60
524288                345.34
1048576               648.31
