
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.40
8                      20.01
16                     19.91
32                     20.18
64                     20.05
128                    40.44
256                    41.24
512                    41.81
1024                   42.76
2048                   43.50
4096                   44.55
8192                   46.06
16384                  53.37
32768                  64.82
65536                  81.94
131072                132.59
262144                196.30
524288                346.94
1048576               648.45
