
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.25
8                      20.02
16                     19.95
32                     19.99
64                     20.06
128                    40.73
256                    41.23
512                    41.84
1024                   42.70
2048                   43.74
4096                   44.74
8192                   46.19
16384                  53.62
32768                  65.05
65536                  82.62
131072                132.93
262144                197.24
524288                344.97
1048576               646.71
