
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.18
8                      20.08
16                     20.07
32                     20.18
64                     20.09
128                    40.61
256                    41.50
512                    41.78
1024                   42.74
2048                   43.67
4096                   44.66
8192                   46.49
16384                  53.65
32768                  65.00
65536                  81.93
131072                133.64
262144                197.84
524288                343.61
1048576               648.96
