
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.34
8                      19.99
16                     19.94
32                     20.08
64                     20.09
128                    40.53
256                    41.21
512                    41.87
1024                   42.86
2048                   43.64
4096                   44.73
8192                   46.31
16384                  53.72
32768                  65.06
65536                  81.81
131072                132.77
262144                195.87
524288                345.90
1048576               646.78
