
# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      20.18
8                      19.99
16                     20.60
32                     19.97
64                     20.09
128                    40.48
256                    41.26
512                    41.84
1024                   42.54
2048                   43.60
4096                   44.69
8192                   45.99
16384                  53.30
32768                  65.19
65536                  82.28
131072                133.42
262144                197.53
524288                344.43
1048576               647.36
